"District wise data on the number of daily infections obtained from https://www.covid19india.org/ on March 15, 2021 and sorted by decreasing number of active cases",,,,,,,
Accessibility code for the districts is as added as per our definition in the manuscript. It is noted only for districts where the active case burden is at least 500 cases.,,,,,,,
State_Code,State,District,Confirmed,Active,Recovered,Deceased,Accessibility Code
JH,Jharkhand,Saraikela-Kharsawan,3711,7,3692,12,
UP,Uttar Pradesh,Auraiya,3541,6,3487,48,
UP,Uttar Pradesh,Bhadohi,2254,6,2221,27,
UP,Uttar Pradesh,Bijnor,4434,6,4364,64,
GJ,Gujarat,Botad,1064,6,1044,14,
UT,Uttarakhand,Chamoli,3490,6,3381,15,
RJ,Rajasthan,Dausa,2439,6,2409,24,
RJ,Rajasthan,Dholpur,3782,6,3747,29,
JH,Jharkhand,Dumka,1419,6,1399,14,
OR,Odisha,Kalahandi,6402,6,6364,32,
UP,Uttar Pradesh,Kannauj,3503,6,3448,49,
JK,Jammu and Kashmir,Kathua,3271,6,3212,53,
BR,Bihar,Munger,4285,6,4222,57,
OR,Odisha,Nayagarh,6492,6,6439,47,
RJ,Rajasthan,Sawai Madhopur,2132,6,2099,27,
JK,Jammu and Kashmir,Udhampur,4324,6,4261,57,
MP,Madhya Pradesh,Anuppur,2134,5,2114,15,
UP,Uttar Pradesh,Bulandshahr,6323,5,6224,94,
JH,Jharkhand,Hazaribagh,4452,5,4409,38,
OR,Odisha,Kendujhar,8044,5,8001,38,
BR,Bihar,Nawada,4329,5,4298,26,
OR,Odisha,Rayagada,8463,5,8413,45,
BR,Bihar,Samastipur,5356,5,5316,35,
JH,Jharkhand,Simdega,2067,5,2056,6,
UP,Uttar Pradesh,Sultanpur,5010,5,4927,78,
WB,West Bengal,Alipurduar,7711,4,7621,86,
UP,Uttar Pradesh,Baghpat,2339,4,2299,36,
UP,Uttar Pradesh,Bahraich,4146,4,4065,77,
RJ,Rajasthan,Bharatpur,9116,4,8992,120,
BR,Bihar,Bhojpur,5126,4,5074,48,
UP,Uttar Pradesh,Chitrakoot,2194,4,2175,15,
WB,West Bengal,Dakshin Dinajpur,8181,4,8103,74,
OR,Odisha,Dhenkanal,5717,4,5684,29,
UP,Uttar Pradesh,Gonda,5074,4,5000,70,
JH,Jharkhand,Jamtara,1278,4,1270,4,
TN,Tamil Nadu,Kallakurichi,10915,4,10803,108,
LA,Ladakh,Kargil,2142,4,2094,44,
HR,Haryana,Mahendragarh,6619,4,6594,21,
SK,Sikkim,North Sikkim,5,4,1,0,
OR,Odisha,Nuapada,7644,4,7613,27,
GJ,Gujarat,Porbandar,740,4,732,4,
UP,Uttar Pradesh,Sitapur,4856,4,4769,83,
BR,Bihar,Siwan,4827,4,4787,36,
RJ,Rajasthan,Tonk,3469,4,3429,36,
UP,Uttar Pradesh,Etawah,5777,3,5668,106,
UP,Uttar Pradesh,Farrukhabad,4731,3,4640,88,
BR,Bihar,Kishanganj,4322,3,4306,13,
JH,Jharkhand,Koderma,3483,3,3452,28,
OR,Odisha,Koraput,7898,3,7879,16,
UP,Uttar Pradesh,Mau,3070,3,3028,39,
BR,Bihar,Nalanda,8369,3,8307,59,
HR,Haryana,Nuh,1718,3,1685,30,
HR,Haryana,Rewari,11388,3,11309,76,
UP,Uttar Pradesh,Sambhal,3214,3,3166,45,
BR,Bihar,Vaishali,5676,3,5623,49,
ML,Meghalaya,West Garo Hills,1719,3,1699,17,
UP,Uttar Pradesh,Budaun,4066,2,4019,45,
JH,Jharkhand,Chatra,1434,2,1421,11,
JK,Jammu and Kashmir,Doda,3440,2,3374,64,
KA,Karnataka,Haveri,11027,2,10835,190,
UP,Uttar Pradesh,Jalaun,4002,2,3953,47,
HR,Haryana,Jhajjar,5947,2,5843,102,
UP,Uttar Pradesh,Kasganj,1967,2,1959,6,
BR,Bihar,Khagaria,3147,2,3131,14,
BR,Bihar,Lakhisarai,3862,2,3851,9,
OR,Odisha,Nabarangapur,5843,2,5825,16,
CT,Chhattisgarh,Narayanpur,1971,2,1967,2,
JH,Jharkhand,Pakur,905,2,901,2,
HR,Haryana,Palwal,4437,2,4400,35,
JK,Jammu and Kashmir,Rajouri,3879,2,3822,55,
BR,Bihar,Saharsa,6869,2,6855,12,
JH,Jharkhand,Sahibganj,1648,2,1637,9,
UP,Uttar Pradesh,Siddharthnagar,4092,2,4037,53,
OR,Odisha,Subarnapur,4790,2,4767,21,
CT,Chhattisgarh,Sukma,4017,2,4005,10,
BR,Bihar,Supaul,5643,2,5622,19,
AR,Arunachal Pradesh,Tirap,589,2,585,2,
BR,Bihar,West Champaran,6081,2,6056,23,
BR,Bihar,Araria,7268,1,7245,22,
BR,Bihar,Banka,3613,1,3592,20,
HP,Himachal Pradesh,Chamba,2983,1,2928,52,
MZ,Mizoram,Champhai,102,1,101,0,
AR,Arunachal Pradesh,Changlang,1283,1,1278,4,
BR,Bihar,Gaya,8125,1,8064,60,
JH,Jharkhand,Godda,2111,1,2100,10,
UP,Uttar Pradesh,Hamirpur,1590,1,1568,21,
UP,Uttar Pradesh,Hathras,1319,1,1311,7,
BR,Bihar,Jamui,3172,1,3161,10,
BR,Bihar,Jehanabad,4598,1,4571,26,
BR,Bihar,Kaimur,2272,1,2261,10,
WB,West Bengal,Kalimpong,2235,1,2207,27,
OR,Odisha,Kandhamal,5952,1,5918,33,
UP,Uttar Pradesh,Kaushambi,2268,1,2240,27,
HP,Himachal Pradesh,Kinnaur,1387,1,1370,16,
JK,Jammu and Kashmir,Kishtwar,2739,1,2716,22,
UP,Uttar Pradesh,Mahoba,1478,1,1465,12,
NL,Nagaland,Mokokchung,195,1,183,3,
BR,Bihar,Purnia,9439,1,9413,25,
MZ,Mizoram,Saitual,33,1,32,0,
TR,Tripura,Sipahijala,2885,1,2845,39,
BR,Bihar,Sitamarhi,4481,1,4463,17,
JH,Jharkhand,West Singhbhum,4846,1,4806,39,
NL,Nagaland,Wokha,39,1,35,1,
PY,Puducherry,Yanam,2128,1,2082,45,
AR,Arunachal Pradesh,Anjaw,204,0,204,0,
BR,Bihar,Arwal,2429,0,2417,12,
MP,Madhya Pradesh,Bhind,1506,0,1496,10,
OR,Odisha,Boudh,2822,0,2811,11,
RJ,Rajasthan,BSF Camp,85,0,85,0,
BR,Bihar,Buxar,4027,0,4007,20,
MP,Madhya Pradesh,Chhatarpur,2113,0,2081,32,
TR,Tripura,Dhalai,3473,0,3454,18,
NL,Nagaland,Dimapur,6478,0,6341,62,
DN,Dadra and Nagar Haveli and Daman and Diu,Diu,312,0,312,0,
ML,Meghalaya,East Garo Hills,339,0,338,1,
ML,Meghalaya,East Jaintia Hills,552,0,552,0,
AR,Arunachal Pradesh,East Kameng,304,0,304,0,
AR,Arunachal Pradesh,East Siang,1144,0,1140,4,
RJ,Rajasthan,Evacuees,61,0,61,0,
HR,Haryana,Foreign Evacuees,0,0,0,0,
AP,Andhra Pradesh,Foreign Evacuees,434,0,434,0,
JH,Jharkhand,Garhwa,2831,0,2817,14,
JH,Jharkhand,Giridih,3425,0,3411,14,
TR,Tripura,Gomati,3932,0,3887,44,
BR,Bihar,Gopalganj,5829,0,5814,15,
MZ,Mizoram,Hnahthial,20,0,20,0,
RJ,Rajasthan,Italians,2,0,2,0,
HR,Haryana,Italians,0,0,0,0,
AR,Arunachal Pradesh,Kamle,30,0,30,0,
OR,Odisha,Kendrapara,9155,0,9126,29,
MZ,Mizoram,Khawzawl,23,0,23,0,
TR,Tripura,Khowai,1843,0,1812,31,
JH,Jharkhand,Khunti,2149,0,2142,7,
NL,Nagaland,Kiphire,41,0,40,1,
MZ,Mizoram,Kolasib,295,0,295,0,
AR,Arunachal Pradesh,Kra Daadi,37,0,37,0,
AR,Arunachal Pradesh,Kurung Kumey,117,0,117,0,
HP,Himachal Pradesh,Lahaul and Spiti,1258,0,1246,12,
MZ,Mizoram,Lawngtlai,340,0,340,0,
AR,Arunachal Pradesh,Lepa Rada,286,0,286,0,
AR,Arunachal Pradesh,Lohit,573,0,573,0,
AR,Arunachal Pradesh,Longding,250,0,250,0,
NL,Nagaland,Longleng,19,0,10,0,
AR,Arunachal Pradesh,Lower Dibang Valley,475,0,475,0,
AR,Arunachal Pradesh,Lower Siang,287,0,287,0,
AR,Arunachal Pradesh,Lower Subansiri,381,0,380,1,
MZ,Mizoram,Lunglei,418,0,418,0,
OR,Odisha,Malkangiri,5246,0,5218,28,
MZ,Mizoram,Mamit,83,0,83,0,
JK,Jammu and Kashmir,Mirpur,0,0,0,0,
NL,Nagaland,Mon,605,0,594,2,
MH,Maharashtra,Mumbai Suburban,0,0,0,0,
JK,Jammu and Kashmir,Muzaffarabad,0,0,0,0,
AR,Arunachal Pradesh,Namsai,434,0,430,4,
AN,Andaman and Nicobar Islands,Nicobars,0,0,0,0,
AN,Andaman and Nicobar Islands,North and Middle Andaman,1,0,1,0,
ML,Meghalaya,North Garo Hills,120,0,118,2,
TR,Tripura,North Tripura,2759,0,2736,16,
MP,Madhya Pradesh,Other Region,0,0,0,0,
WB,West Bengal,Other State,66,0,63,3,
RJ,Rajasthan,Other State,189,0,150,39,
KL,Kerala,Other State,0,0,0,0,
KA,Karnataka,Other State,36,0,33,3,
GJ,Gujarat,Other State,162,0,159,3,
DN,Dadra and Nagar Haveli and Daman and Diu,Other State,0,0,0,0,
AP,Andhra Pradesh,Other State,2461,0,2461,0,
OR,Odisha,Others,0,0,0,0,
NL,Nagaland,Others,0,0,0,0,
AR,Arunachal Pradesh,Pakke Kessang,132,0,132,0,
JH,Jharkhand,Palamu,3640,0,3616,24,
AR,Arunachal Pradesh,Papum Pare,6780,0,6751,29,
NL,Nagaland,Peren,507,0,506,0,
NL,Nagaland,Phek,47,0,47,0,
TN,Tamil Nadu,Railway Quarantine,428,0,428,0,
JK,Jammu and Kashmir,Ramban,2135,0,2114,21,
MZ,Mizoram,Saiha,36,0,36,0,
MZ,Mizoram,Serchhip,180,0,179,1,
BR,Bihar,Sheikhpura,3000,0,2987,13,
BR,Bihar,Sheohar,1547,0,1546,1,
AR,Arunachal Pradesh,Shi Yomi,104,0,104,0,
UP,Uttar Pradesh,Shrawasti,1371,0,1353,18,
AR,Arunachal Pradesh,Siang,133,0,132,1,
ML,Meghalaya,South Garo Hills,198,0,198,0,
TR,Tripura,South Tripura,4058,0,4032,23,
ML,Meghalaya,South West Garo Hills,200,0,198,2,
ML,Meghalaya,South West Khasi Hills,57,0,57,0,
AR,Arunachal Pradesh,Tawang,492,0,490,2,
NL,Nagaland,Tuensang,248,0,246,1,
UN,State Unassigned,Unassigned,0,0,0,0,
WB,West Bengal,Unknown,0,0,0,0,
UT,Uttarakhand,Unknown,0,0,0,0,
UP,Uttar Pradesh,Unknown,0,0,0,0,
TR,Tripura,Unknown,0,0,0,0,
TN,Tamil Nadu,Unknown,0,0,0,0,
RJ,Rajasthan,Unknown,0,0,0,0,
PB,Punjab,Unknown,0,0,0,0,
PY,Puducherry,Unknown,0,0,0,0,
OR,Odisha,Unknown,0,0,0,0,
NL,Nagaland,Unknown,0,0,0,0,
MZ,Mizoram,Unknown,0,0,0,0,
ML,Meghalaya,Unknown,0,0,0,0,
MH,Maharashtra,Unknown,0,0,0,0,
MP,Madhya Pradesh,Unknown,0,0,0,0,
LA,Ladakh,Unknown,0,0,0,0,
KL,Kerala,Unknown,0,0,0,0,
KA,Karnataka,Unknown,0,0,0,0,
JH,Jharkhand,Unknown,0,0,0,0,
JK,Jammu and Kashmir,Unknown,0,0,0,0,
HP,Himachal Pradesh,Unknown,0,0,0,0,
HR,Haryana,Unknown,0,0,0,0,
GJ,Gujarat,Unknown,0,0,0,0,
DN,Dadra and Nagar Haveli and Daman and Diu,Unknown,0,0,0,0,
CT,Chhattisgarh,Unknown,0,0,0,0,
BR,Bihar,Unknown,0,0,0,0,
AR,Arunachal Pradesh,Unknown,0,0,0,0,
AP,Andhra Pradesh,Unknown,0,0,0,0,
TR,Tripura,Unokoti,2767,0,2744,23,
AR,Arunachal Pradesh,Upper Dibang Valley,23,0,23,0,
AR,Arunachal Pradesh,Upper Siang,361,0,361,0,
AR,Arunachal Pradesh,Upper Subansiri,441,0,439,2,
ML,Meghalaya,West Jaintia Hills,542,0,541,1,
AR,Arunachal Pradesh,West Kameng,950,0,946,4,
ML,Meghalaya,West Khasi Hills,180,0,179,1,
AR,Arunachal Pradesh,West Siang,1030,0,1027,3,
NL,Nagaland,Zunheboto,142,0,139,0,
TN,Tamil Nadu,Other State,0,-3,0,3,
LD,Lakshadweep,Unknown,14,-11,25,0,
AN,Andaman and Nicobar Islands,Unknown,4979,-14,4931,62,
SK,Sikkim,Unknown,3885,-1055,4711,132,
GA,Goa,Unknown,49538,-2877,51801,614,
